Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X2(44)
4.477093633732083e-15,0.0505958752244895,8.407947297209083e-14,4.9499076922889605e-21,2.0558992932277623e-11,7.548757035556556e-104,3.600351275378406e-13,0.938,6.318382844364043e-57,3.385356154235446e-10,8.630440608858016e-31,2.7595562560690577e-13,4.6403617630911685e-11,0.0,0.0,0.03055618414628732,0.00999999983073219,0.04999999997916507,8.455465386492117e-71,4.5271595590193816e-76,0.0019999999535123027,1.4240015112733111e-106,2.0003584800757436e-79
5.9598051088110314e-15,0.0505958752244895,1.1192470567640545e-13,8.771394683019428e-21,2.7367601885174154e-11,7.172160949629522e-103,4.792705968774705e-13,0.938,2.2761411526883263e-56,4.5065090008283575e-10,1.963429814452677e-30,3.6734583988499623e-13,6.177133592464032e-11,0.0,0.0,0.03055618401175724,0.00999999977467455,0.04999999997226507,4.5326023875428896e-70,1.897149588831524e-75,0.0019999999381167394,1.4013753400663437e-105,1.2202940907831422e-78
7.44251658388998e-15,0.0505958752244895,1.3976995112537735e-13,1.3678677763888123e-20,3.417618028235724e-11,4.756469918213116e-102,5.985060824051509e-13,0.938,6.374384848409127e-56,5.627661831285031e-10,3.7397723785613294e-30,4.587360512540795e-13,7.7139002805671e-11,0.0,0.0,0.030556183877227243,0.009999999718616906,0.0499999999653651,1.8401843401538577e-69,6.062723631318995e-75,0.001999999922721227,9.87963363671711e-105,5.453336611738229e-78
1.0407939534047876e-14,0.0505958752244895,1.9546048025708093e-13,2.6750635200637963e-20,4.779324541008292e-11,1.057141999333185e-100,8.3697710202335e-13,0.938,3.171768238897801e-55,7.869967443789685e-10,9.932627562311033e-30,6.415164652640055e-13,1.0787418233026531e-10,0.0,0.0,0.030556183608167493,0.009999999606501627,0.049999999951565254,1.8032999539690252e-68,3.840574306161124e-74,0.001999999891930357,2.70177270220283e-103,6.63441270225011e-77
1.3373362484205772e-14,0.0505958752244895,2.511510603667426e-13,4.41657865015917e-20,6.141018831653603e-11,7.577496850545534e-100,1.0754481863895979e-12,0.938,1.0371892514994626e-54,1.0112272991749465e-09,2.076606455628838e-29,8.242968676340468e-13,1.386091562060507e-10,0.0,0.0,0.030556183339108083,0.00999999949438635,0.04999999993776554,8.92370079504955e-68,1.4852610859438505e-73,0.0019999998611396927,2.100157086385107e-102,3.6801563134101517e-76
1.6338785434363668e-14,0.0505958752244895,3.0684169145387915e-13,6.592413851009889e-20,7.502700900285492e-11,3.92046816220877e-99,1.3139193355009037e-12,0.938,2.70405080072904e-54,1.2354578475164425e-09,3.7634484794524893e-29,1.0070772583614268e-12,1.693439244344548e-10,0.0,0.0,0.030556183070049002,0.009999999382271077,0.049999999923965935,3.3199347393568655e-67,4.471243327031709e-73,0.001999999830349234,1.1782768610621203e-101,1.5207903049380213e-75
2.226963133467946e-14,0.0505958752244895,4.1822310655869663e-13,1.2247047129168263e-19,1.0226028371952086e-10,9.143852860017937e-98,1.790861827947051e-12,0.938,1.3189862685825736e-53,1.6839189248360083e-09,9.490375112898931e-29,1.3726380048773973e-12,2.308128439546754e-10,0.0,0.0,0.030556182531931847,0.009999999158040538,0.0499999998963671,3.362053772076736e-66,3.184311250057489e-72,0.0019999997687689328,5.2516426483823e-100,2.56343145405967e-74
2.8200477234995253e-14,0.0505958752244895,5.296047255677903e-13,1.963896865647838e-19,1.2949306956889914e-10,6.915027226050476e-97,2.2678045793386256e-12,0.938,4.271032614200757e-53,2.1323799763377095e-09,1.9254255665627412e-28,1.7381987047904094e-12,2.92280940901986e-10,0.0,0.0,0.030556181993816028,0.009999998933810011,0.049999999868768755,1.695639147307141e-65,1.2930431531503287e-71,0.001999999707189454,4.684001778756726e-99,1.5811301169933074e-73
4.006216903562684e-14,0.0505958752244895,7.523685752839529e-13,3.96346974997367e-19,1.8395717470078875e-10,2.018613624723873e-95,3.221690858866123e-12,0.938,2.560104413254612e-52,3.02930200188768e-09,5.517986257181241e-28,2.4693199647222027e-12,4.1521466712176475e-10,0.0,0.0,0.0305561809175884,0.009999998485348998,0.049999999813573524,2.1845208867192715e-64,1.1692324249340413e-70,0.001999999584032964,2.307078829493531e-97,3.2638263607619423e-72
5.1923860836258427e-14,0.0505958752244895,9.751332405725965e-13,6.657964255156927e-19,2.3841932446866305e-10,1.7473069911997734e-94,4.1755781738991345e-12,0.938,9.19342255492374e-52,3.92622392416669e-09,1.2013240776540204e-27,3.2004410379857334e-12,5.381451031817513e-10,0.0,0.0,0.03055617984136612,0.009999998036888037,0.049999999758380265,1.2559850364022734e-63,5.28614883997715e-70,0.0019999994608797633,2.3113797954184583e-96,2.260342480461396e-71
